Latidude,Longitude,MAG_DIUR
16.914607,79.092034,42810.000000
16.914511,79.091941,42482.000000
16.914394,79.091854,42276.000000
16.914277,79.091786,42446.000000
16.914200,79.091740,42554.000000
16.914122,79.091712,42549.000000
16.914051,79.091644,42589.000000
16.913941,79.091537,42632.000000
16.913858,79.091436,42554.000000
16.913754,79.091312,42692.114000
16.913443,79.091977,42536.114000
