16.9149938,79.0888862,163.743,42575.1
16.9149152,79.0888205,163.73,42769.1
16.9148379,79.0887485,164.16,42637.846
16.9147586,79.088672,163.765,42833.769
16.9144806,79.089167,162.148,42826.692
16.9145678,79.0892446,161.977,42890.692
16.9146307,79.0893027,161.656,42767.615
16.9146914,79.089367,161.925,42710.538
16.9147659,79.0894407,160.702,42833.538
16.9149008,79.0895957,159.307,42663.461
16.9149585,79.0896531,159.747,42783.461
16.9150147,79.0897229,159.205,42793.384
16.9150668,79.0897913,158.863,42614.384
16.9151293,79.0898658,160.29,42816.307
16.9152026,79.0899332,161.311,42821.307
16.9152474,79.0900016,162.106,42906.23
16.9153743,79.0900824,163.32,42929.507
16.9154463,79.0901697,162.111,42700.014
16.9155079,79.0902329,163.057,42973.521
16.9155995,79.0903146,161.556,42838.521
16.9156668,79.09039,162.068,42976.028
16.9158159,79.0904844,162.952,42885.535
16.9159018,79.0905656,163.143,42806.535
16.9159965,79.0906299,162.34,42903.042
16.9160888,79.0906942,162.655,42925.042
16.91618,79.0907677,161.88,43000.549
16.9161794,79.0907697,161.733,42727.549
16.9162485,79.0908135,162.3,42579.056
16.9163331,79.0908718,163.563,42408.563
16.9164094,79.0909331,165.012,42493.07
16.9164921,79.0909884,162.243,42349.07
