LAT,LONG,Mag_diurnal
16.9428107,79.0443072,42751.236
16.9427583,79.0444117,42675.295
16.9426909,79.0444921,42737.354
16.9426241,79.0445857,42729.354
16.9425486,79.0446996,42713.413
16.9425044,79.0448031,42618.472
16.9423447,79.0453523,42641.472
16.9422823,79.0454594,42519.59
16.9423912,79.0452172,42134.53
Data Column
Band,Minimum,Maximum,Mean,Std Dev,Median,Median Abs Dev,No Samples,No cols (samples in x-dir),No rows (samples in y-dir),Skewness,Kurtosis
Calculated Gravity (mGal),0.0,0.0,0.0,0.0,0.0,0.0,2000.0,50.0,40.0,0.0,-3.0
Calculated Magnetics (nT),0.0,0.0,0.0,0.0,0.0,0.0,2000.0,50.0,40.0,0.0,-3.0

